N,Iteration,Sum Rate LC,Sum Rate TUM
16,1,3.38260870814107,2.8109995903749736
16,2,2.3640124969413066,2.246191358212089
16,3,0.8932107362739827,0.8228877560736741
16,4,2.18653696095335,2.099268258761959
16,5,7.3705407587372775,6.482170516683871
16,6,5.710121933836204,5.585712351510843
16,7,0.6751999392122661,0.63573700761085
16,8,1.342069177261741,1.1800231330155608
16,9,1.9671684077340146,1.8196258927118116
16,10,15.583337646980663,14.844123179098554
16,11,4.83471097430277,4.3261752474687505
16,12,3.1265422783299543,2.698010240781871
16,13,1.4824093177708808,1.3569494390037697
16,14,1.89199673851073,1.7514803146930127
16,15,1.3376579311675179,1.2648576922919559
16,16,4.5681856937103,4.419081991355344
16,17,1.296828278619317,1.1785184110435458
16,18,0.5803687541697019,0.5483365582562366
16,19,3.6360456555299434,3.5569891182157827
16,20,7.357112196321458,6.528438694130417
16,21,2.047055490248414,1.850924122290282
16,22,1.089095874958325,0.9986924459287239
16,23,1.9670208702146814,1.8311166248658743
16,24,2.7557703491354832,2.4904507025976814
16,25,13.119803492859193,10.300471296746977
16,26,1.0310351606235446,0.9688928155380343
16,27,1.515529604071961,1.2883660801095145
16,28,2.3228795690382915,2.042176987660412
16,29,20.283458751354168,20.24610743572408
16,30,1.884281794903578,1.8238289968947798
16,31,0.9909154366657541,0.910086432923086
16,32,5.937761647554249,5.5714567872733936
16,33,1.036515093774764,0.9629508598346832
16,34,1.0152791092603062,0.9337629095140725
16,35,1.7104982574387146,1.5034322462431713
16,36,3.88761352756587,3.8084620403894545
16,37,9.792052751510184,9.196293242393969
16,38,3.1341825099939844,2.9255161675565784
16,39,1.2737909442934963,1.1295742544609062
16,40,6.143573531484284,5.952327964001558
16,41,18.13257246333818,16.929069321907438
16,42,2.3562397827005777,2.175151659568122
16,43,7.585783101023909,6.991134578646399
16,44,2.0915534646443974,1.9268843503189323
16,45,0.7062798047811547,0.6562158961219714
16,46,9.591957946029162,9.498037935664499
16,47,0.6424605537767409,0.5990073338473463
16,48,11.018996002065656,10.52176608424482
16,49,3.5334684632639526,3.403515144020897
16,50,5.574289688116246,4.867668185289872
16,51,0.942747993517583,0.8725488018987807
16,52,7.025670822591344,6.908321319301523
16,53,0.9323727004662807,0.8278072565106671
16,54,0.5874978391122619,0.5780300379193382
16,55,2.375274332098879,2.133444095663011
16,56,1.9748395284323572,1.7706199147256039
16,57,2.9103124689211004,2.6871111714072913
16,58,2.1926985716675547,1.9855613630429283
16,59,2.1809908866983503,1.9045462522173633
16,60,3.7875080497199014,3.452389880778913
16,61,3.8994024226759025,3.5517913619767842
16,62,4.597945384358925,4.265980997978118
16,63,1.898459377156041,1.7826174122635026
16,64,1.203239459638883,1.0570048384717905
16,65,1.7395437673933514,1.6112828053439567
16,66,2.6396497526277884,2.4345805282011543
16,67,1.62845153623379,1.4842691812058877
16,68,7.846586726443231,7.6684021146037935
16,69,6.714506403240522,6.564339263258752
16,70,2.0891398978972573,1.7819375411977298
16,71,11.057082794452718,10.686567498392183
16,72,4.871570403424287,4.540029476447233
16,73,4.648081618095959,4.330194743100174
16,74,3.6566806049146168,3.216423083169132
16,75,0.5223389012782761,0.48051723267751456
16,76,2.1079811316804107,1.8230830711728268
16,77,7.767035758389369,6.865555581940001
16,78,6.000968359275021,5.1674538471984235
16,79,3.4661326978584293,3.121934821802072
16,80,1.2337513381012173,1.1653514829988232
16,81,18.34994567216095,17.284207529977614
16,82,3.7615384850773026,3.5380344471334437
16,83,1.000418077131808,0.8764747135073295
16,84,3.0349697028384415,2.693094358625473
16,85,5.805059836859112,5.691746874939816
16,86,12.468104276379725,12.379360605208706
16,87,1.8705587237771384,1.7519947108671772
16,88,1.6230402438692968,1.5524073950655217
16,89,1.085740036318757,1.0064152247639733
